"FIELD_DBNAME";"RULE_ID";"RULE_IN";"RULE_OUT"
"Регион";"286033";"1";"0"
"Код_ОУ";"286036";"1";"0"
"Код_ППЭ";"286039";"1";"0"
"Дата";"286042";"1";"1"
"Получено_15";"286045";"1";"0"
"Получено_15";"286048";"1";"0"
"Получено_15";"286051";"1";"0"
"Получено_5";"286054";"1";"0"
"Получено_5";"286057";"1";"0"
"Получено_5";"286060";"1";"0"
"НеИспольз_15";"286063";"1";"0"
"НеИспольз_15";"286066";"1";"0"
"НеИспольз_15";"286069";"1";"0"
"НеИспольз_5";"286072";"1";"0"
"НеИспольз_5";"286075";"1";"0"
"НеИспольз_5";"286078";"1";"0"
"НеИспольз_инд";"286081";"1";"0"
"НеИспольз_инд";"286084";"1";"0"
"НеИспольз_инд";"286087";"1";"0"
"Заменено";"286090";"1";"0"
"Заменено";"286093";"1";"0"
"Заменено";"286096";"1";"0"
"aud_01";"286099";"1";"0"
"aud_02";"286102";"1";"0"
"aud_03";"286105";"1";"0"
"aud_04";"286108";"1";"0"
"aud_05";"286111";"1";"0"
"aud_06";"286114";"1";"0"
"aud_07";"286117";"1";"0"
"aud_08";"286120";"1";"0"
"aud_09";"286123";"1";"0"
"aud_10";"286126";"1";"0"
"q_01_0";"286129";"1";"0"
"q_02_0";"286132";"1";"0"
"q_03_0";"286135";"1";"0"
"q_04_0";"286138";"1";"0"
"q_05_0";"286141";"1";"0"
"q_06_0";"286144";"1";"0"
"q_07_0";"286147";"1";"0"
"q_08_0";"286150";"1";"0"
"q_09_0";"286153";"1";"0"
"q_10_0";"286156";"1";"0"
"q_01_1";"286159";"1";"0"
"q_02_1";"286162";"1";"0"
"q_03_1";"286165";"1";"0"
"q_04_1";"286168";"1";"0"
"q_05_1";"286171";"1";"0"
"q_06_1";"286174";"1";"0"
"q_07_1";"286177";"1";"0"
"q_08_1";"286180";"1";"0"
"q_09_1";"286183";"1";"0"
"q_10_1";"286186";"1";"0"
"q_01_2";"286189";"1";"0"
"q_02_2";"286192";"1";"0"
"q_03_2";"286195";"1";"0"
"q_04_2";"286198";"1";"0"
"q_05_2";"286201";"1";"0"
"q_06_2";"286204";"1";"0"
"q_07_2";"286207";"1";"0"
"q_08_2";"286210";"1";"0"
"q_09_2";"286213";"1";"0"
"q_10_2";"286216";"1";"0"
"q_01_3";"286219";"1";"0"
"q_02_3";"286222";"1";"0"
"q_03_3";"286225";"1";"0"
"q_04_3";"286228";"1";"0"
"q_05_3";"286231";"1";"0"
"q_06_3";"286234";"1";"0"
"q_07_3";"286237";"1";"0"
"q_08_3";"286240";"1";"0"
"q_09_3";"286243";"1";"0"
"q_10_3";"286246";"1";"0"
"q_10_4";"286249";"1";"0"
"q_10_5";"286252";"1";"0"
"q_10_6";"286255";"1";"0"
"q_10_7";"286258";"1";"0"
"q_10_8";"286261";"1";"0"
"q_10_9";"286264";"1";"0"
"Регистрационный код";"286267";"1";"0"
"IDCode";"286270";"1";"0"
"Field115";"286273";"1";"0"
"Field116";"286276";"1";"0"
"q_01_4";"286279";"1";"0"
"q_02_4";"286282";"1";"0"
"q_03_4";"286285";"1";"0"
"q_04_4";"286288";"1";"0"
"q_05_4";"286291";"1";"0"
"q_06_4";"286294";"1";"0"
"q_07_4";"286297";"1";"0"
"q_08_4";"286300";"1";"0"
"q_09_4";"286303";"1";"0"
"q_01_5";"286306";"1";"0"
"q_02_5";"286309";"1";"0"
"q_03_5";"286312";"1";"0"
"q_04_5";"286315";"1";"0"
"q_05_5";"286318";"1";"0"
"q_06_5";"286321";"1";"0"
"q_07_5";"286324";"1";"0"
"q_08_5";"286327";"1";"0"
"q_09_5";"286330";"1";"0"
"q_01_6";"286333";"1";"0"
"q_02_6";"286336";"1";"0"
"q_03_6";"286339";"1";"0"
"q_04_6";"286342";"1";"0"
"q_05_6";"286345";"1";"0"
"q_06_6";"286348";"1";"0"
"q_07_6";"286351";"1";"0"
"q_08_6";"286354";"1";"0"
"q_09_6";"286357";"1";"0"
"q_01_7";"286360";"1";"0"
"q_02_7";"286363";"1";"0"
"q_03_7";"286366";"1";"0"
"q_04_7";"286369";"1";"0"
"q_05_7";"286372";"1";"0"
"q_06_7";"286375";"1";"0"
"q_07_7";"286378";"1";"0"
"q_08_7";"286381";"1";"0"
"q_09_7";"286384";"1";"0"
"q_01_8";"286387";"1";"0"
"q_02_8";"286390";"1";"0"
"q_03_8";"286393";"1";"0"
"q_04_8";"286396";"1";"0"
"q_05_8";"286399";"1";"0"
"q_06_8";"286402";"1";"0"
"q_07_8";"286405";"1";"0"
"q_08_8";"286408";"1";"0"
"q_09_8";"286411";"1";"0"
"q_01_9";"286414";"1";"0"
"q_02_9";"286417";"1";"0"
"q_03_9";"286420";"1";"0"
"q_04_9";"286423";"1";"0"
"q_05_9";"286426";"1";"0"
"q_06_9";"286429";"1";"0"
"q_07_9";"286432";"1";"0"
"q_08_9";"286435";"1";"0"
"q_09_9";"286438";"1";"0"
"IDCode";"286441";"1";"0"
"Код_предмета";"286444";"1";"0"
"aud_01";"286444";"1";"0"
"q_01_0";"286444";"1";"0"
"q_01_1";"286444";"1";"0"
"q_01_2";"286444";"1";"0"
"q_01_3";"286444";"1";"0"
"Код_предмета";"286447";"1";"0"
"aud_02";"286447";"1";"0"
"q_02_0";"286447";"1";"0"
"q_02_1";"286447";"1";"0"
"q_02_2";"286447";"1";"0"
"q_02_3";"286447";"1";"0"
"Код_предмета";"286450";"1";"0"
"aud_03";"286450";"1";"0"
"q_03_0";"286450";"1";"0"
"q_03_1";"286450";"1";"0"
"q_03_2";"286450";"1";"0"
"q_03_3";"286450";"1";"0"
"Код_предмета";"286453";"1";"0"
"aud_04";"286453";"1";"0"
"q_04_0";"286453";"1";"0"
"q_04_1";"286453";"1";"0"
"q_04_2";"286453";"1";"0"
"q_04_3";"286453";"1";"0"
"Код_предмета";"286456";"1";"0"
"aud_05";"286456";"1";"0"
"q_05_0";"286456";"1";"0"
"q_05_1";"286456";"1";"0"
"q_05_2";"286456";"1";"0"
"q_05_3";"286456";"1";"0"
"Код_предмета";"286459";"1";"0"
"aud_06";"286459";"1";"0"
"q_06_0";"286459";"1";"0"
"q_06_1";"286459";"1";"0"
"q_06_2";"286459";"1";"0"
"q_06_3";"286459";"1";"0"
"Код_предмета";"286462";"1";"0"
"aud_07";"286462";"1";"0"
"q_07_0";"286462";"1";"0"
"q_07_1";"286462";"1";"0"
"q_07_2";"286462";"1";"0"
"q_07_3";"286462";"1";"0"
"Код_предмета";"286465";"1";"0"
"aud_08";"286465";"1";"0"
"q_08_0";"286465";"1";"0"
"q_08_1";"286465";"1";"0"
"q_08_2";"286465";"1";"0"
"q_08_3";"286465";"1";"0"
"Код_предмета";"286468";"1";"0"
"aud_09";"286468";"1";"0"
"q_09_0";"286468";"1";"0"
"q_09_1";"286468";"1";"0"
"q_09_2";"286468";"1";"0"
"q_09_3";"286468";"1";"0"
"Код_предмета";"286471";"1";"0"
"aud_10";"286471";"1";"0"
"q_10_0";"286471";"1";"0"
"q_10_1";"286471";"1";"0"
"q_10_2";"286471";"1";"0"
"q_10_3";"286471";"1";"0"
"aud_01";"286474";"1";"0"
"q_01_6";"286474";"1";"0"
"q_01_7";"286474";"1";"0"
"q_01_8";"286474";"1";"0"
"q_01_9";"286474";"1";"0"
"aud_02";"286477";"1";"0"
"q_02_6";"286477";"1";"0"
"q_02_7";"286477";"1";"0"
"q_02_8";"286477";"1";"0"
"q_02_9";"286477";"1";"0"
"aud_03";"286480";"1";"0"
"q_03_6";"286480";"1";"0"
"q_03_7";"286480";"1";"0"
"q_03_8";"286480";"1";"0"
"q_03_9";"286480";"1";"0"
"aud_04";"286483";"1";"0"
"q_04_6";"286483";"1";"0"
"q_04_7";"286483";"1";"0"
"q_04_8";"286483";"1";"0"
"q_04_9";"286483";"1";"0"
"aud_05";"286486";"1";"0"
"q_05_6";"286486";"1";"0"
"q_05_7";"286486";"1";"0"
"q_05_8";"286486";"1";"0"
"q_05_9";"286486";"1";"0"
"aud_06";"286489";"1";"0"
"q_06_6";"286489";"1";"0"
"q_06_7";"286489";"1";"0"
"q_06_8";"286489";"1";"0"
"q_06_9";"286489";"1";"0"
"aud_07";"286492";"1";"0"
"q_07_6";"286492";"1";"0"
"q_07_7";"286492";"1";"0"
"q_07_8";"286492";"1";"0"
"q_07_9";"286492";"1";"0"
"aud_08";"286495";"1";"0"
"q_08_6";"286495";"1";"0"
"q_08_7";"286495";"1";"0"
"q_08_8";"286495";"1";"0"
"q_08_9";"286495";"1";"0"
"aud_09";"286498";"1";"0"
"q_09_6";"286498";"1";"0"
"q_09_7";"286498";"1";"0"
"q_09_8";"286498";"1";"0"
"q_09_9";"286498";"1";"0"
"aud_10";"286501";"1";"0"
"q_10_6";"286501";"1";"0"
"q_10_7";"286501";"1";"0"
"q_10_8";"286501";"1";"0"
"q_10_9";"286501";"1";"0"
"aud_01";"286504";"1";"0"
"q_01_0";"286504";"1";"0"
"q_01_1";"286504";"1";"0"
"q_01_2";"286504";"1";"0"
"q_01_3";"286504";"1";"0"
"aud_02";"286507";"1";"0"
"q_02_0";"286507";"1";"0"
"q_02_1";"286507";"1";"0"
"q_02_2";"286507";"1";"0"
"q_02_3";"286507";"1";"0"
"aud_03";"286510";"1";"0"
"q_03_0";"286510";"1";"0"
"q_03_1";"286510";"1";"0"
"q_03_2";"286510";"1";"0"
"q_03_3";"286510";"1";"0"
"aud_04";"286513";"1";"0"
"q_04_0";"286513";"1";"0"
"q_04_1";"286513";"1";"0"
"q_04_2";"286513";"1";"0"
"q_04_3";"286513";"1";"0"
"aud_05";"286516";"1";"0"
"q_05_0";"286516";"1";"0"
"q_05_1";"286516";"1";"0"
"q_05_2";"286516";"1";"0"
"q_05_3";"286516";"1";"0"
"aud_06";"286519";"1";"0"
"q_06_0";"286519";"1";"0"
"q_06_1";"286519";"1";"0"
"q_06_2";"286519";"1";"0"
"q_06_3";"286519";"1";"0"
"aud_07";"286522";"1";"0"
"q_07_0";"286522";"1";"0"
"q_07_1";"286522";"1";"0"
"q_07_2";"286522";"1";"0"
"q_07_3";"286522";"1";"0"
"aud_08";"286525";"1";"0"
"q_08_0";"286525";"1";"0"
"q_08_1";"286525";"1";"0"
"q_08_2";"286525";"1";"0"
"q_08_3";"286525";"1";"0"
"aud_09";"286528";"1";"0"
"q_09_0";"286528";"1";"0"
"q_09_1";"286528";"1";"0"
"q_09_2";"286528";"1";"0"
"q_09_3";"286528";"1";"0"
"aud_10";"286531";"1";"0"
"q_10_0";"286531";"1";"0"
"q_10_1";"286531";"1";"0"
"q_10_2";"286531";"1";"0"
"q_10_3";"286531";"1";"0"
"Заменено_ИК";"286534";"1";"0"
"Заменено_ИК";"286537";"1";"0"
"Заменено_ИК";"286540";"1";"0"