"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"301878";"Время выхода_01";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301881";"Время входа_01";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301884";"Время 01";"CExpressionRule";"0";"1";"Проверка с условием"
"301887";"Время выхода_02";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301890";"Время входа_02";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301893";"Время 02";"CExpressionRule";"0";"1";"Проверка с условием"
"301896";"Время выхода_03";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301899";"Время входа_03";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301902";"Время 03";"CExpressionRule";"0";"1";"Проверка с условием"
"301905";"Время выхода_04";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301908";"Время входа_04";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301911";"Время 04";"CExpressionRule";"0";"1";"Проверка с условием"
"301914";"Время выхода_05";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301917";"Время входа_05";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301920";"Время 05";"CExpressionRule";"0";"1";"Проверка с условием"
"301923";"Время выхода_06";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301926";"Время входа_06";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301929";"Время 06";"CExpressionRule";"0";"1";"Проверка с условием"
"301932";"Время выхода_07";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301935";"Время входа_07";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301938";"Время 07";"CExpressionRule";"0";"1";"Проверка с условием"
"301941";"Время выхода_08";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301944";"Время входа_08";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301947";"Время 08";"CExpressionRule";"0";"1";"Проверка с условием"
"301950";"Время выхода_09";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301953";"Время входа_09";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301956";"Время 09";"CExpressionRule";"0";"1";"Проверка с условием"
"301959";"Время выхода_10";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301962";"Время входа_10";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301965";"Время 10";"CExpressionRule";"0";"1";"Проверка с условием"
"301968";"Время выхода_11";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301971";"Время входа_11";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301974";"Время 11";"CExpressionRule";"0";"1";"Проверка с условием"
"301977";"Время выхода_12";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301980";"Время входа_12";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301983";"Время 12";"CExpressionRule";"0";"1";"Проверка с условием"
"301986";"Время выхода_13";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301989";"Время входа_13";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301992";"Время 13";"CExpressionRule";"0";"1";"Проверка с условием"
"301995";"Время выхода_14";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"301998";"Время входа_14";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302001";"Время 14";"CExpressionRule";"0";"1";"Проверка с условием"
"302004";"Время выхода_15";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302007";"Время входа_15";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302010";"Время 15";"CExpressionRule";"0";"1";"Проверка с условием"
"302013";"Время выхода_16";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302016";"Время входа_16";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302019";"Время 16";"CExpressionRule";"0";"1";"Проверка с условием"
"302022";"Время выхода_17";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302025";"Время входа_17";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302028";"Время 17";"CExpressionRule";"0";"1";"Проверка с условием"
"302031";"Время выхода_18";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302034";"Время входа_18";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302037";"Время 18";"CExpressionRule";"0";"1";"Проверка с условием"
"302040";"Время выхода_19";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302043";"Время входа_19";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302046";"Время 19";"CExpressionRule";"0";"1";"Проверка с условием"
"302049";"Время выхода_20";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302052";"Время входа_20";"CConcatenateFieldsRule";"0";"1";"Объединение блоков"
"302055";"Время 20";"CExpressionRule";"0";"1";"Проверка с условием"
"302058";"Регион";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302061";"ОУ";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302064";"ППЭ";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302067";"Аудитория";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302070";"Дата экзамена";"CDateNormalizerRule";"0";"1";"Нормализация и проверка даты"
"302073";"Код предмета";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302076";"Регистрационный код";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302079";"Бланк регистрации 01";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302082";"Бланк регистрации 02";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302085";"Бланк регистрации 03";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302088";"Бланк регистрации 04";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302091";"Бланк регистрации 05";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302094";"Бланк регистрации 06";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302097";"Бланк регистрации 07";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302100";"Бланк регистрации 08";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302103";"Бланк регистрации 09";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302106";"Бланк регистрации 10";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302109";"Бланк регистрации 11";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302112";"Бланк регистрации 12";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302115";"Бланк регистрации 13";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302118";"Бланк регистрации 14";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302121";"Бланк регистрации 15";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302124";"Бланк регистрации 16";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302127";"Бланк регистрации 17";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302130";"Бланк регистрации 18";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302133";"Бланк регистрации 19";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302136";"Бланк регистрации 20";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"302139";"Страница";"CRegularExpressionRule";"0";"1";"Регулярное выражение"